trkpt - lon,trkpt - lat,trkpt - ele,trkpt - time,time,Day
-58.47561,-34.573853,15.163577,2015-10-24T11:13:43.035-03:00,11:13:43:1343,2015-10-24
-58.475517,-34.573925,15.999502,2015-10-24T11:13:47.093-03:00,11:13:47:1347,2015-10-24
-58.47544,-34.573994,16.22813,2015-10-24T11:13:51.150-03:00,11:13:51:1351,2015-10-24
-58.475353,-34.57407,16.312262,2015-10-24T11:13:55.207-03:00,11:13:55:1355,2015-10-24
-58.475277,-34.574146,16.395357,2015-10-24T11:13:59.264-03:00,11:13:59:1359,2015-10-24
-58.475163,-34.574173,16.477415,2015-10-24T11:14:03.322-03:00,11:14:03:143,2015-10-24
-58.47505,-34.574112,16.690617,2015-10-24T11:14:07.379-03:00,11:14:07:147,2015-10-24
-58.474937,-34.574055,16.070862,2015-10-24T11:14:11.436-03:00,11:14:11:1411,2015-10-24
-58.474823,-34.57399,15.438146,2015-10-24T11:14:15.494-03:00,11:14:15:1415,2015-10-24
-58.474724,-34.573936,14.893681,2015-10-24T11:14:19.551-03:00,11:14:19:1419,2015-10-24
-58.474613,-34.57389,14.343232,2015-10-24T11:14:23.608-03:00,11:14:23:1423,2015-10-24
-58.474518,-34.57382,13.735944,2015-10-24T11:14:27.665-03:00,11:14:27:1427,2015-10-24
-58.47446,-34.573727,13.168045,2015-10-24T11:14:31.723-03:00,11:14:31:1431,2015-10-24
-58.47449,-34.573627,12.611613,2015-10-24T11:14:35.780-03:00,11:14:35:1435,2015-10-24
-58.474594,-34.573566,12.012302,2015-10-24T11:14:39.837-03:00,11:14:39:1439,2015-10-24
-58.474697,-34.573498,11.41349,2015-10-24T11:14:43.895-03:00,11:14:43:1443,2015-10-24
-58.474773,-34.573425,9.69181,2015-10-24T11:14:47.952-03:00,11:14:47:1447,2015-10-24
-58.474827,-34.573322,7.9005322,2015-10-24T11:14:52.009-03:00,11:14:52:1452,2015-10-24
-58.474888,-34.573227,7.1822753,2015-10-24T11:14:56.066-03:00,11:14:56:1456,2015-10-24
-58.47496,-34.573154,7.5737853,2015-10-24T11:15:00.124-03:00,11:15:00:150,2015-10-24
-58.47504,-34.57307,8.012142,2015-10-24T11:15:04.181-03:00,11:15:04:154,2015-10-24
-58.475136,-34.573025,8.386549,2015-10-24T11:15:08.238-03:00,11:15:08:158,2015-10-24
-58.475254,-34.573048,8.802598,2015-10-24T11:15:12.296-03:00,11:15:12:1512,2015-10-24
-58.475365,-34.573112,9.260289,2015-10-24T11:15:16.353-03:00,11:15:16:1516,2015-10-24
-58.475452,-34.57318,9.680428,2015-10-24T11:15:20.410-03:00,11:15:20:1520,2015-10-24
-58.47557,-34.573242,10.156338,2015-10-24T11:15:24.467-03:00,11:15:24:1524,2015-10-24
-58.475693,-34.57328,10.602131,2015-10-24T11:15:28.525-03:00,11:15:28:1528,2015-10-24
-58.475792,-34.573334,11.008141,2015-10-24T11:15:32.582-03:00,11:15:32:1532,2015-10-24
-58.475895,-34.57339,11.430139,2015-10-24T11:15:36.639-03:00,11:15:36:1536,2015-10-24
-58.47595,-34.57349,11.878906,2015-10-24T11:15:40.696-03:00,11:15:40:1540,2015-10-24
-58.4759,-34.573605,12.373405,2015-10-24T11:15:44.754-03:00,11:15:44:1544,2015-10-24
-58.475815,-34.57368,12.807673,2015-10-24T11:15:48.811-03:00,11:15:48:1548,2015-10-24
-58.47574,-34.573753,13.927402,2015-10-24T11:15:52.868-03:00,11:15:52:1552,2015-10-24
-58.47564,-34.573837,14.8088875,2015-10-24T11:15:56.926-03:00,11:15:56:1556,2015-10-24
-58.47556,-34.573902,15.1526985,2015-10-24T11:16:00.983-03:00,11:16:00:160,2015-10-24
-58.47547,-34.573963,15.298256,2015-10-24T11:16:05.040-03:00,11:16:05:165,2015-10-24
-58.47539,-34.574047,15.565738,2015-10-24T11:16:09.097-03:00,11:16:09:169,2015-10-24
-58.475323,-34.574127,15.863581,2015-10-24T11:16:13.155-03:00,11:16:13:1613,2015-10-24
-58.47524,-34.574184,16.011337,2015-10-24T11:16:17.212-03:00,11:16:17:1617,2015-10-24
-58.475113,-34.574184,16.037582,2015-10-24T11:16:21.269-03:00,11:16:21:1621,2015-10-24
-58.475014,-34.574116,15.062453,2015-10-24T11:16:25.327-03:00,11:16:25:1625,2015-10-24
-58.474922,-34.574036,14.036872,2015-10-24T11:16:29.384-03:00,11:16:29:1629,2015-10-24
-58.474823,-34.57397,13.084901,2015-10-24T11:16:33.441-03:00,11:16:33:1633,2015-10-24
-58.47472,-34.57392,12.171803,2015-10-24T11:16:37.498-03:00,11:16:37:1637,2015-10-24
-58.4746,-34.573856,11.110658,2015-10-24T11:16:41.556-03:00,11:16:41:1641,2015-10-24
-58.47451,-34.573803,10.2529745,2015-10-24T11:16:45.613-03:00,11:16:45:1645,2015-10-24
-58.47444,-34.573723,9.356256,2015-10-24T11:16:49.670-03:00,11:16:49:1649,2015-10-24
-58.474506,-34.573643,8.767194,2015-10-24T11:16:53.728-03:00,11:16:53:1653,2015-10-24
-58.474583,-34.573574,8.185571,2015-10-24T11:16:57.785-03:00,11:16:57:1657,2015-10-24
-58.47466,-34.573498,7.3837028,2015-10-24T11:17:01.842-03:00,11:17:01:171,2015-10-24
-58.47474,-34.573406,6.552278,2015-10-24T11:17:05.899-03:00,11:17:05:175,2015-10-24
-58.474823,-34.573326,6.017367,2015-10-24T11:17:09.957-03:00,11:17:09:179,2015-10-24
-58.474907,-34.573254,5.990201,2015-10-24T11:17:14.014-03:00,11:17:14:1714,2015-10-24
-58.474976,-34.573174,6.5458646,2015-10-24T11:17:18.071-03:00,11:17:18:1718,2015-10-24
-58.47507,-34.573086,7.2041283,2015-10-24T11:17:22.129-03:00,11:17:22:1722,2015-10-24
